kecamatan,tahun,luas_tanam_ha,luas_panen_ha,produktivitas_kw_ha,produktivitas_ton_ha,produksi_ton,is_sementara
Cerbon,2018,5761,5552,35.68,3.568,19810,0
Cerbon,2019,5990,5626,32.07,3.207,18043,0
Cerbon,2020,5983,5818,35.59,3.559,20706,0
Cerbon,2021,6365,3056,35.06,3.506,10714,0
Cerbon,2022,5249,4417,35.04,3.504,15477,0
Cerbon,2023,5314,4619,35.1,3.51,16212,0
Cerbon,2024,5649,5487,35.35,3.535,19395,0
Cerbon,2025,6830,7005,41.73,4.173,17746,0
Bakumpai,2018,5075,4887,35.9,3.59,17543,0
Bakumpai,2019,5176,5166,32.06,3.206,16562,0
Bakumpai,2020,4784,4649,35.56,3.556,16533,0
Bakumpai,2021,6044,3594,35.37,3.537,12712,0
Bakumpai,2022,3572,3782,34.71,3.471,13127,0
Bakumpai,2023,3379,2877,35.07,3.507,10090,0
Bakumpai,2024,4006,3004,34.31,3.431,10307,0
Bakumpai,2025,4153,4031,47.7,4.77,14426,0
Marabahan,2018,4195,4033,35.63,3.563,14371,0
Marabahan,2019,4763,4389,32.04,3.204,14063,0
Marabahan,2020,4550,4317,35.56,3.556,15353,0
Marabahan,2021,7100,4045,35.22,3.522,14246,0
Marabahan,2022,2170,71,35.03,3.503,250,0
Marabahan,2023,2116,2058,35.03,3.503,7210,0
Marabahan,2024,1698,1682,34.17,3.417,5747,0
Marabahan,2025,2267,2053,35.72,3.572,7349,0
Tabukan,2018,6228,6005,35.49,3.549,21310,0
Tabukan,2019,6283,6156,32.05,3.205,19731,0
Tabukan,2020,6620,6402,35.58,3.558,22778,0
Tabukan,2021,6946,4053,35.28,3.528,14299,0
Tabukan,2022,4709,2397,35.02,3.502,8394,0
Tabukan,2023,5132,5068,35.07,3.507,17773,0
Tabukan,2024,5178,3624,35.23,3.523,12767,0
Tabukan,2025,7122,6673,35.8,3.58,23913,0
Kuripan,2018,305,260,35.39,3.539,920,0
Kuripan,2019,134,130,32.04,3.204,416,0
Kuripan,2020,140,124,35.57,3.557,442,0
Kuripan,2021,489,211,34.23,3.423,722,0
Kuripan,2022,6,0,0.0,0.0,0,0
Kuripan,2023,6,1,35.07,3.507,4,0
Kuripan,2024,2,2,34.72,3.472,7,0
Kuripan,2025,1,6,35.65,3.565,21,0
